c1_W_regularizer, c1_b_regularizer, c1_dropout, c1_filters, c1_width, c2_W_regularizer, c2_b_regularizer, c2_dropout, c2_filters, c2_width, d1_W_regularizer, d1_b_regularizer, d1_dropout, d1_size, d2_W_regularizer, d2_b_regularizer, d2_dropout, d2_size, embedding_W_regularizer, embedding_b_regularizer, embedding_dim, epochs, learning_rate, margin, auc
0.1, 0.0001, 0.05, 32, 5, 0.1, 0.001, 0.1, 0, 5, 0.01, 0, 0.1, 256, 0.001, 0.0001, 0.1, 128, 0, 0.001, 16, 100, 0.001, 10, 0.748452261379
0.01, 0.0001, 0.3, 8, 20, 0.1, 0.0001, 0, 32, 3, 0.01, 0.001, 0.1, 128, 0.01, 0.001, 0.1, 256, 0, 0.1, 64, 100, 1e-05, 15, 0.677239340678
0.1, 0.1, 0.05, 8, 5, 0, 0.01, 0.05, 0, 8, 0.001, 0.001, 0.05, 128, 0.01, 0.1, 0.1, 128, 0.0001, 0, 64, 200, 0.001, 10, 0.674020426379
0, 0.01, 0.1, 16, 20, 0.01, 0.1, 0.05, 8, 5, 0.1, 0.001, 0.05, 256, 0.01, 0.01, 0.05, 256, 0.0001, 0, 16, 200, 0.0005, 8, 0.708763083861
0, 0.0001, 0.1, 32, 5, 0.0001, 0.001, 0.1, 16, 3, 0.001, 0.0001, 0.05, 256, 0.1, 0.01, 0.1, 256, 1e-05, 0.001, 16, 200, 0.002, 15, 0.699153542517
0.0001, 0.0001, 0, 8, 10, 0, 0.001, 0, 16, 8, 0.01, 0, 0.1, 128, 0.01, 0.1, 0.05, 256, 1e-05, 0.0001, 64, 200, 0.001, 15, 0.664426960927
0.01, 0.01, 0, 16, 20, 0.1, 0.01, 0, 8, 5, 0.001, 0.0001, 0.1, 128, 0.001, 0.0001, 0.05, 128, 0.001, 0.1, 16, 200, 0.001, 15, 0.672067666082
0.0001, 0.1, 0.05, 32, 10, 0.1, 0.0001, 0.05, 32, 3, 0.001, 0.0001, 0.1, 128, 0.001, 0.1, 0.1, 128, 0.001, 0.01, 64, 200, 0.001, 10, 0.726450194667
0.01, 0.1, 0, 32, 10, 0.0001, 0.001, 0.05, 32, 5, 0.1, 0, 0.05, 128, 0.01, 0.01, 0.05, 256, 1e-05, 0, 64, 200, 0.0001, 8, 0.676703574123
0.1, 0.1, 0, 8, 10, 0.1, 0.001, 0.1, 0, 5, 0.001, 0.01, 0.05, 128, 0.1, 0, 0.05, 256, 0.0001, 0.1, 16, 200, 0.0005, 15, 0.666648288582
0.001, 0.001, 0, 32, 20, 0, 0.1, 0.1, 8, 3, 0.01, 0.1, 0.1, 128, 0.01, 0, 0.1, 256, 0.0001, 0, 16, 200, 0.001, 8, 0.681920950556
0, 0.001, 0.3, 16, 20, 0.0001, 0.0001, 0.05, 16, 8, 0.001, 0.001, 0.1, 256, 0.01, 0.01, 0.1, 128, 1e-05, 0.01, 64, 200, 0.0005, 15, 0.695329006524
0.1, 0.0001, 0, 8, 5, 0, 0.01, 0.1, 8, 3, 0.001, 0, 0.1, 128, 0.01, 0.001, 0.1, 256, 0.0001, 0.0001, 16, 200, 0.002, 8, 0.654234938226
0, 0.01, 0.05, 16, 5, 0.0001, 0.1, 0.05, 0, 3, 0.01, 0, 0.05, 128, 0.001, 0.01, 0.05, 128, 0.001, 0.0001, 64, 200, 0.0001, 10, 0.641189444902
0.0001, 0.01, 0.3, 8, 20, 0.001, 0.001, 0.1, 32, 5, 0.001, 0, 0.1, 256, 0.01, 0, 0.05, 256, 0.0001, 0.001, 64, 200, 0.0001, 10, 0.668023724437
0.001, 0.001, 0, 16, 10, 0.01, 0.01, 0, 32, 5, 0.001, 0.0001, 0.05, 128, 0.01, 0.1, 0.05, 256, 0.0001, 0.001, 16, 200, 0.0005, 15, 0.671000697894
0.0001, 0.01, 0.3, 32, 10, 0.01, 0.001, 0.1, 8, 5, 0.1, 0.001, 0.1, 128, 0.1, 0.01, 0.1, 256, 0.0001, 0.001, 64, 200, 0.001, 10, 0.66999957245
0.01, 0.0001, 0, 16, 5, 0.001, 0.0001, 0.05, 8, 3, 0.001, 0.0001, 0.05, 256, 0.01, 0.1, 0.05, 256, 0.0001, 0.0001, 16, 200, 0.001, 10, 0.720597018067
0.01, 0.001, 0, 32, 20, 0, 0.01, 0.05, 8, 3, 0.001, 0.001, 0.05, 256, 0.1, 0.001, 0.05, 256, 0.0001, 0.0001, 64, 200, 0.001, 10, 0.678322555777
0, 0.0001, 0.05, 32, 20, 0, 0.0001, 0, 16, 8, 0.1, 0.0001, 0.1, 128, 0.1, 0, 0.05, 128, 0.001, 0.0001, 16, 200, 0.0005, 8, 0.662195779881
0.01, 0.001, 0, 32, 10, 0.1, 0.0001, 0.1, 8, 3, 0.001, 0.0001, 0.05, 128, 0.01, 0.001, 0.1, 256, 0.001, 0.001, 16, 200, 0.0005, 8, 0.703799106617
0.001, 0.001, 0.3, 16, 20, 0, 0.01, 0.05, 16, 8, 0.1, 0.01, 0.1, 256, 0.01, 0.001, 0.1, 256, 0.0001, 0.1, 16, 200, 0.0005, 8, 0.673675202544
0.001, 0.0001, 0.3, 32, 20, 0.1, 0.0001, 0, 0, 8, 0.01, 0, 0.05, 128, 0.001, 0.1, 0.1, 256, 0.001, 0.001, 64, 200, 0.002, 8, 0.705923518489
0.1, 0.0001, 0, 8, 10, 0.01, 0.01, 0.1, 8, 5, 0.1, 0, 0.1, 256, 0.01, 0, 0.05, 256, 1e-05, 0.01, 16, 200, 0.0005, 8, 0.694778676949
0.001, 0.001, 0.3, 32, 10, 0.01, 0.001, 0.1, 0, 8, 0.1, 0.1, 0.05, 256, 0.001, 0.001, 0.05, 256, 0.001, 0.0001, 16, 200, 0.001, 8, 0.738801714674
0.001, 0.001, 0, 32, 10, 0, 0.01, 0.05, 32, 5, 0.1, 0, 0.1, 128, 0.1, 0, 0.05, 256, 0, 0.01, 64, 200, 0.0001, 10, 0.686181061627
0.001, 0.1, 0.1, 16, 20, 0.0001, 0.01, 0, 0, 3, 0.01, 0.0001, 0.05, 128, 0.1, 0, 0.1, 128, 0, 0.1, 16, 200, 0.0001, 10, 0.658980364917
0.0001, 0.0001, 0, 16, 10, 0.001, 0.001, 0, 0, 3, 0.01, 0, 0.1, 128, 0.01, 0.1, 0.1, 256, 0.001, 0.1, 64, 200, 0.0001, 8, 0.628642462058
0, 0.0001, 0, 32, 10, 0.01, 0.01, 0, 32, 8, 0.01, 0.01, 0.1, 256, 0.001, 0.001, 0.1, 128, 0.0001, 0.001, 16, 200, 0.002, 15, 0.689073235418
0, 0.0001, 0, 16, 20, 0.001, 0.01, 0, 8, 3, 0.01, 0.0001, 0.05, 128, 0.1, 0.0001, 0.1, 128, 1e-05, 0.01, 64, 200, 0.001, 10, 0.656465001062
0, 0.0001, 0.3, 32, 10, 0.0001, 0.0001, 0, 32, 5, 0.1, 0.01, 0.05, 256, 0.01, 0, 0.05, 256, 0, 0.001, 64, 200, 0.001, 10, 0.711503681208
0.01, 0.1, 0.3, 8, 5, 0.0001, 0.0001, 0, 8, 5, 0.1, 0.01, 0.05, 128, 0.01, 0.001, 0.1, 128, 0.0001, 0.01, 64, 200, 0.0005, 15, 0.738967025348
0.001, 0.01, 0.05, 8, 10, 0.001, 0.0001, 0.1, 0, 3, 0.001, 0.0001, 0.05, 256, 0.01, 0, 0.1, 128, 0.001, 0.1, 64, 200, 0.0001, 8, 0.646522536176
0, 0.1, 0.1, 8, 20, 0.0001, 0.1, 0, 0, 5, 0.1, 0.1, 0.05, 128, 0.1, 0.0001, 0.05, 128, 0.001, 0, 16, 200, 0.0005, 15, 0.687930794737
0.0001, 0.01, 0.3, 8, 20, 0.1, 0.0001, 0.1, 8, 8, 0.01, 0.0001, 0.1, 128, 0.01, 0, 0.1, 256, 0.001, 0.1, 64, 200, 0.002, 10, 0.680060475344
0.001, 0.1, 0.3, 32, 10, 0.001, 0.01, 0, 16, 8, 0.01, 0.0001, 0.1, 128, 0.1, 0.0001, 0.05, 256, 0.0001, 0.0001, 16, 200, 0.002, 15, 0.742287893946
0.001, 0.1, 0.3, 16, 10, 0.01, 0.1, 0, 32, 3, 0.01, 0.001, 0.1, 128, 0.01, 0.01, 0.05, 256, 1e-05, 0.001, 64, 200, 0.002, 15, 0.677007608422
